original_email,expected_output,extracted_signature
"Hi Team,  Just a quick update on the software development project. We are currently in the testing phase, and everything is progressing well. Please continue to report any bugs or issues you encounter to the development team. We are on track to meet our launch date next month.  Best, Liam",{'name': 'Liam'},{'name': 'Liam'}
"Dear Mr. Anderson,  I hope this email finds you well. I am writing to express my gratitude for your generous donation to our foundation. Your support will greatly contribute to our ongoing projects aimed at improving the lives of underprivileged children in our community. We would love to invite you to our annual gala next month to meet some of the children and see the impact of your contribution firsthand. Please let us know if you are able to attend.  Warm regards, Jessica Martinez Community Outreach Coordinator jessica.martinez@helpinghands.org Helping Hands Foundation","{'name': 'Jessica Martinez', 'email': 'jessica.martinez@helpinghands.org', 'job_title': 'Community Outreach Coordinator', 'company': 'Helping Hands Foundation'}","{'name': 'Jessica Martinez', 'email': 'jessica.martinez@helpinghands.org', 'job_title': 'Community Outreach Coordinator', 'company': 'Helping Hands Foundation'}"
"Hi Team,  I hope everyone had a great weekend. I wanted to remind you all that our office will be closed next Friday for the public holiday. Please make sure to complete any urgent tasks by Thursday and let me know if you have any concerns or need assistance with your workload. Enjoy the long weekend!  Best, Laura",{'name': 'Laura'},{'name': 'Laura'}
"Hello Dr. Smith,  I hope this message finds you well. I am reaching out to confirm your appointment with Dr. Jameson on Wednesday, August 5th, at 10 AM. Please let us know if you need to reschedule or have any special requests for your visit. We look forward to seeing you soon.  Best regards, Anna Green Receptionist anna.green@healthclinic.com Health Clinic","{'name': 'Anna Green', 'email': 'anna.green@healthclinic.com', 'job_title': 'Receptionist', 'company': 'Health Clinic'}","{'name': 'Anna Green', 'email': 'anna.green@healthclinic.com', 'job_title': 'Receptionist', 'company': 'Health Clinic'}"
"Dear Students,  I hope you are all enjoying your summer break. As the new academic year approaches, I wanted to remind you to complete your course registrations and review the updated syllabus for your respective programs. If you have any questions or need guidance, please do not hesitate to reach out to the academic office. We are here to support you in your educational journey.  Sincerely, Prof. John Wilson Dean of Students john.wilson@university.edu University of Education","{'name': 'Prof. John Wilson', 'email': 'john.wilson@university.edu', 'job_title': 'Dean of Students', 'company': 'University of Education'}","{'name': 'Prof. John Wilson', 'email': 'john.wilson@university.edu', 'job_title': 'Dean of Students', 'company': 'University of Education'}"
"Hi Sarah,  I wanted to personally thank you for your outstanding work on the recent project. Your dedication and creativity have not gone unnoticed, and I am truly impressed with the results. As a token of appreciation, I have arranged for a small gift to be delivered to your office. Keep up the excellent work!  Best, Mark",{'name': 'Mark'},{'name': 'Mark'}
"Dear Customers,  We are excited to announce the launch of our new product line next month! To celebrate, we will be hosting a special event at our flagship store with exclusive discounts, giveaways, and product demonstrations. Stay tuned for more details and mark your calendars. We can't wait to share our latest innovations with you.  Warm regards, The Marketing Team marketing@innovativeproducts.com Innovative Products Inc.","{'email': 'marketing@innovativeproducts.com', 'company': 'Innovative Products Inc.'}","{'name': 'The Marketing Team', 'email': 'marketing@innovativeproducts.com', 'company': 'Innovative Products Inc.'}"
"Hello,  I wanted to follow up on our recent interview. I am pleased to inform you that we have decided to move forward with your application. Our HR department will contact you soon with the next steps. We are excited about the prospect of having you join our team and look forward to working with you.  Best regards, Hiring Manager hiring@company.com Company Inc.","{'email': 'hiring@company.com', 'company': 'Company Inc.'}","{'name': 'Hiring Manager', 'email': 'hiring@company.com', 'company': 'Company Inc.'}"
"Dear Volunteers,  Thank you all for your hard work and dedication during our annual charity event. Your efforts have made a significant impact on our community, and we couldn't have done it without you. We are planning a thank-you dinner next Friday to celebrate our success and show our appreciation. Please RSVP by this Wednesday.  Sincerely, Emily Rogers Volunteer Coordinator emily.rogers@charity.org Charity Organization","{'name': 'Emily Rogers', 'email': 'emily.rogers@charity.org', 'job_title': 'Volunteer Coordinator', 'company': 'Charity Organization'}","{'name': 'Emily Rogers', 'email': 'emily.rogers@charity.org', 'job_title': 'Volunteer Coordinator', 'company': 'Charity Organization'}"
"Hi all,  As we approach the end of the quarter, I wanted to remind everyone to submit their performance reviews and update their project statuses in the system. Your timely submissions are crucial for our quarterly reporting. If you have any questions or need assistance, please reach out to the HR department.  Thanks, Jennifer",{'name': 'Jennifer'},{'name': 'Jennifer'}
"Hello Mr. Brown,  I hope you are doing well. I am writing to confirm your reservation at our hotel from August 10th to August 15th. We have booked a deluxe suite for you, and our team will ensure that your stay is comfortable and enjoyable. If you have any special requests or need assistance with transportation, please let us know.  Warm regards, Alex Turner Front Desk Manager alex.turner@luxuryhotel.com Luxury Hotel","{'name': 'Alex Turner', 'email': 'alex.turner@luxuryhotel.com', 'job_title': 'Front Desk Manager', 'company': 'Luxury Hotel'}","{'name': 'Alex Turner', 'email': 'alex.turner@luxuryhotel.com', 'job_title': 'Front Desk Manager', 'company': 'Luxury Hotel'}"
"Dear Parents,  We are thrilled to announce our upcoming parent-teacher conference, which will be held next Thursday at 5 PM in the school auditorium. This is a great opportunity to discuss your child's progress and address any concerns you may have. Please confirm your attendance by the end of the week.  Best regards, Mrs. Linda Johnson School Principal linda.johnson@greenschool.edu Green School","{'name': 'Mrs. Linda Johnson', 'email': 'linda.johnson@greenschool.edu', 'job_title': 'School Principal', 'company': 'Green School'}","{'name': 'Mrs. Linda Johnson', 'email': 'linda.johnson@greenschool.edu', 'job_title': 'School Principal', 'company': 'Green School'}"
"Hi Team,  I hope this email finds you well. As we prepare for the upcoming trade show, I wanted to share the finalized schedule and booth assignments. Please review the attached document and familiarize yourself with your responsibilities. If you have any questions or need further information, don't hesitate to reach out.  Best, Tom",{'name': 'Tom'},{'name': 'Tom'}
"Hello Alice,  I hope you are having a great day. I wanted to touch base regarding the project timeline. We need to ensure that all deliverables are on track for our upcoming deadline. Please provide an update on your current tasks and any potential roadblocks you might be facing. Let's coordinate to address any issues promptly.  Thanks, Robert",{'name': 'Robert'},{'name': 'Robert'}
